2024-03-22 11:25:18,Front:521mm, Back:7104mm, Up:695mm, Left:9838mm, Right:0mm
2024-03-22 11:25:18,Front:521mm, Back:7104mm, Up:695mm, Left:9838mm, Right:0mm
2024-03-22 11:25:19,Front:521mm, Back:8841mm, Up:693mm, Left:9838mm, Right:1153mm
2024-03-22 11:25:19,Front:521mm, Back:8841mm, Up:706mm, Left:4963mm, Right:1146mm
2024-03-22 11:25:19,Front:521mm, Back:10241mm, Up:712mm, Left:0mm, Right:1129mm
2024-03-22 11:25:20,Front:521mm, Back:10241mm, Up:712mm, Left:0mm, Right:1129mm
2024-03-22 11:25:21,Front:521mm, Back:11225mm, Up:698mm, Left:0mm, Right:0mm
2024-03-22 11:25:21,Front:521mm, Back:11225mm, Up:698mm, Left:0mm, Right:0mm
2024-03-22 11:25:22,Front:520mm, Back:12040mm, Up:702mm, Left:925mm, Right:1231mm
2024-03-22 11:25:22,Front:520mm, Back:12040mm, Up:702mm, Left:925mm, Right:1231mm
2024-03-22 11:25:23,Front:520mm, Back:11937mm, Up:715mm, Left:6323mm, Right:1234mm
2024-03-22 11:25:24,Front:520mm, Back:11937mm, Up:717mm, Left:6278mm, Right:1243mm
2024-03-22 11:25:24,Front:520mm, Back:11937mm, Up:717mm, Left:6278mm, Right:1243mm
2024-03-22 11:25:24,Front:520mm, Back:9768mm, Up:717mm, Left:6290mm, Right:1245mm
2024-03-22 11:25:25,Front:521mm, Back:7966mm, Up:716mm, Left:6289mm, Right:1250mm
2024-03-22 11:25:25,Front:521mm, Back:7966mm, Up:717mm, Left:6278mm, Right:1255mm
2024-03-22 11:25:26,Front:521mm, Back:7074mm, Up:715mm, Left:6275mm, Right:1260mm
2024-03-22 11:25:27,Front:521mm, Back:6986mm, Up:718mm, Left:6257mm, Right:1273mm
2024-03-22 11:25:27,Front:521mm, Back:7179mm, Up:718mm, Left:6247mm, Right:1287mm
2024-03-22 11:25:28,Front:520mm, Back:7318mm, Up:715mm, Left:6244mm, Right:1276mm
2024-03-22 11:25:28,Front:520mm, Back:7318mm, Up:715mm, Left:6056mm, Right:1271mm
2024-03-22 11:25:29,Front:520mm, Back:7429mm, Up:711mm, Left:1047mm, Right:1272mm
2024-03-22 11:25:29,Front:520mm, Back:7429mm, Up:712mm, Left:1058mm, Right:1277mm
2024-03-22 11:25:31,Front:521mm, Back:0mm, Up:708mm, Left:976mm, Right:1275mm
2024-03-22 11:25:31,Front:521mm, Back:0mm, Up:706mm, Left:915mm, Right:1271mm
2024-03-22 11:25:32,Front:521mm, Back:7521mm, Up:692mm, Left:914mm, Right:1264mm
2024-03-22 11:25:32,Front:521mm, Back:7521mm, Up:686mm, Left:925mm, Right:1261mm
2024-03-22 11:25:33,Front:521mm, Back:7525mm, Up:688mm, Left:925mm, Right:1260mm
2024-03-22 11:25:33,Front:521mm, Back:0mm, Up:692mm, Left:926mm, Right:1256mm
2024-03-22 11:25:34,Front:521mm, Back:7521mm, Up:708mm, Left:933mm, Right:1250mm
2024-03-22 11:25:34,Front:521mm, Back:0mm, Up:710mm, Left:956mm, Right:1235mm
2024-03-22 11:25:35,Front:521mm, Back:0mm, Up:705mm, Left:951mm, Right:1241mm
2024-03-22 11:25:36,Front:521mm, Back:7506mm, Up:704mm, Left:945mm, Right:1241mm
2024-03-22 11:25:36,Front:521mm, Back:7521mm, Up:709mm, Left:943mm, Right:1242mm
2024-03-22 11:25:37,Front:521mm, Back:7521mm, Up:709mm, Left:942mm, Right:1256mm
2024-03-22 11:25:37,Front:521mm, Back:7524mm, Up:707mm, Left:940mm, Right:1280mm
2024-03-22 11:25:38,Front:521mm, Back:7524mm, Up:707mm, Left:940mm, Right:1280mm
2024-03-22 11:25:38,Front:521mm, Back:7524mm, Up:686mm, Left:936mm, Right:1269mm
2024-03-22 11:25:40,Front:521mm, Back:7524mm, Up:711mm, Left:881mm, Right:0mm
2024-03-22 11:25:40,Front:521mm, Back:7524mm, Up:711mm, Left:881mm, Right:0mm
2024-03-22 11:25:41,Front:521mm, Back:7524mm, Up:697mm, Left:874mm, Right:0mm
2024-03-22 11:25:41,Front:521mm, Back:7522mm, Up:695mm, Left:878mm, Right:1298mm
2024-03-22 11:25:42,Front:521mm, Back:7522mm, Up:695mm, Left:878mm, Right:1298mm
2024-03-22 11:25:43,Front:520mm, Back:7522mm, Up:690mm, Left:889mm, Right:1294mm
2024-03-22 11:25:43,Front:520mm, Back:7520mm, Up:690mm, Left:889mm, Right:1292mm
2024-03-22 11:25:43,Front:520mm, Back:7520mm, Up:690mm, Left:889mm, Right:1292mm
2024-03-22 11:25:44,Front:520mm, Back:7518mm, Up:689mm, Left:924mm, Right:1236mm
2024-03-22 11:25:44,Front:520mm, Back:7518mm, Up:701mm, Left:934mm, Right:1235mm
2024-03-22 11:25:45,Front:520mm, Back:7518mm, Up:8137mm, Left:934mm, Right:1235mm
2024-03-22 11:25:46,Front:520mm, Back:7518mm, Up:11345mm, Left:804mm, Right:1176mm
2024-03-22 11:25:47,Front:523mm, Back:7518mm, Up:11367mm, Left:774mm, Right:0mm
2024-03-22 11:25:47,Front:547mm, Back:7517mm, Up:11368mm, Left:881mm, Right:1307mm
2024-03-22 11:25:48,Front:547mm, Back:7517mm, Up:11368mm, Left:881mm, Right:1307mm
2024-03-22 11:25:48,Front:636mm, Back:7517mm, Up:11367mm, Left:882mm, Right:1309mm
2024-03-22 11:25:48,Front:840mm, Back:7533mm, Up:11370mm, Left:924mm, Right:1314mm
2024-03-22 11:25:49,Front:1600mm, Back:7533mm, Up:11368mm, Left:1109mm, Right:1312mm
2024-03-22 11:25:50,Front:2032mm, Back:7648mm, Up:11365mm, Left:1109mm, Right:1294mm
2024-03-22 11:25:51,Front:2032mm, Back:8103mm, Up:9045mm, Left:1082mm, Right:1304mm
2024-03-22 11:25:51,Front:2032mm, Back:8103mm, Up:9045mm, Left:1082mm, Right:1304mm
2024-03-22 11:25:52,Front:2608mm, Back:9184mm, Up:698mm, Left:0mm, Right:1376mm
2024-03-22 11:25:53,Front:2146mm, Back:11044mm, Up:681mm, Left:0mm, Right:7691mm
2024-03-22 11:25:53,Front:2146mm, Back:11044mm, Up:681mm, Left:0mm, Right:7691mm
