time,front,back,up,left,right
102.0,6083.0,15305.0,724.0,905.0,1158.0
102.0,16929.0,17015.0,705.0,913.0,1164.0
103.0,16929.0,17015.0,705.0,913.0,1164.0
104.0,10279.0,19081.0,703.0,913.0,1241.0
104.0,10279.0,19081.0,703.0,913.0,1241.0
105.0,6930.0,19081.0,703.0,913.0,1240.0
105.0,4138.0,16483.0,703.0,1109.0,1247.0
106.0,4138.0,16483.0,703.0,2898.0,1248.0
106.0,2117.0,16483.0,703.0,6262.0,1259.0
107.0,2117.0,13812.0,703.0,6258.0,1270.0
108.0,974.0,10985.0,715.0,6251.0,1271.0
108.0,1979.0,10985.0,713.0,6249.0,1283.0
109.0,1979.0,8521.0,712.0,6246.0,1286.0
109.0,1979.0,6718.0,714.0,6244.0,1290.0
109.0,4261.0,6718.0,714.0,6242.0,1290.0
110.0,7403.0,5646.0,714.0,6241.0,1292.0
111.0,7403.0,5203.0,714.0,6238.0,1297.0
111.0,10875.0,5203.0,714.0,6234.0,1301.0
112.0,10875.0,5203.0,715.0,6239.0,1298.0
112.0,18524.0,6179.0,715.0,6238.0,1296.0
113.0,19272.0,6652.0,715.0,6243.0,1299.0
114.0,16044.0,7501.0,716.0,6237.0,1299.0
114.0,13247.0,8984.0,718.0,6244.0,1299.0
115.0,10281.0,8984.0,718.0,6246.0,1296.0
115.0,0.0,10970.0,719.0,6245.0,1295.0
116.0,0.0,12921.0,721.0,6241.0,1296.0
117.0,0.0,12921.0,719.0,6242.0,1295.0
117.0,0.0,0.0,721.0,6248.0,1293.0
117.0,0.0,0.0,721.0,6248.0,1293.0
118.0,0.0,0.0,719.0,6248.0,1279.0
119.0,0.0,0.0,720.0,1311.0,1280.0
120.0,0.0,0.0,718.0,1008.0,1287.0
120.0,5200.0,0.0,718.0,1087.0,1287.0
121.0,5203.0,0.0,717.0,1085.0,1294.0
122.0,5199.0,9782.0,717.0,1080.0,1316.0
122.0,5048.0,0.0,716.0,1074.0,1327.0
123.0,5048.0,0.0,716.0,1072.0,1330.0
123.0,5048.0,0.0,713.0,864.0,1332.0
123.0,4845.0,0.0,712.0,858.0,1327.0
124.0,4845.0,0.0,709.0,863.0,1322.0
125.0,4768.0,0.0,709.0,866.0,1303.0
125.0,4768.0,0.0,709.0,902.0,1285.0
126.0,4685.0,0.0,708.0,901.0,1274.0
127.0,4685.0,0.0,709.0,903.0,1272.0
128.0,4411.0,0.0,709.0,929.0,1251.0
128.0,4411.0,0.0,709.0,929.0,1251.0
129.0,4411.0,0.0,709.0,926.0,1246.0
129.0,4275.0,0.0,709.0,917.0,1264.0
130.0,4235.0,0.0,709.0,918.0,1261.0
130.0,4201.0,0.0,709.0,923.0,1258.0
131.0,4198.0,12703.0,706.0,914.0,1268.0
131.0,4198.0,12703.0,706.0,914.0,1268.0
132.0,4199.0,12728.0,708.0,892.0,1294.0
133.0,4204.0,12737.0,708.0,897.0,1283.0
134.0,4204.0,12745.0,708.0,901.0,1282.0
134.0,4205.0,12745.0,706.0,904.0,1274.0
135.0,4205.0,12816.0,705.0,916.0,1271.0
135.0,4205.0,12816.0,705.0,916.0,1271.0
135.0,4204.0,12816.0,702.0,918.0,1269.0
136.0,4204.0,12899.0,704.0,912.0,1269.0
137.0,4204.0,12899.0,706.0,905.0,1270.0
137.0,4204.0,13016.0,709.0,895.0,1315.0
138.0,4204.0,13161.0,709.0,848.0,1327.0
138.0,4204.0,13326.0,710.0,846.0,1334.0
139.0,4204.0,13326.0,709.0,848.0,1332.0
140.0,4204.0,13503.0,708.0,849.0,1334.0
140.0,4204.0,13503.0,706.0,844.0,1331.0
141.0,4204.0,13689.0,707.0,841.0,1327.0
141.0,4204.0,13689.0,706.0,841.0,1311.0
142.0,4204.0,13884.0,705.0,841.0,1280.0
142.0,4204.0,13884.0,706.0,841.0,1282.0
143.0,4204.0,14088.0,706.0,841.0,1281.0
143.0,4204.0,14538.0,705.0,841.0,1280.0
144.0,4204.0,0.0,708.0,841.0,1282.0
145.0,4204.0,0.0,708.0,842.0,1289.0
145.0,4204.0,0.0,711.0,845.0,1318.0
146.0,4204.0,0.0,711.0,847.0,1321.0
147.0,4204.0,0.0,711.0,847.0,1321.0
147.0,4209.0,0.0,706.0,843.0,1322.0
148.0,4209.0,0.0,702.0,836.0,3069.0
149.0,4244.0,0.0,699.0,841.0,9385.0
149.0,5258.0,0.0,699.0,849.0,9385.0
150.0,5258.0,0.0,691.0,850.0,9447.0
150.0,5258.0,0.0,690.0,882.0,9273.0
151.0,5995.0,18188.0,688.0,886.0,1300.0
151.0,5995.0,18188.0,688.0,886.0,1300.0
152.0,6811.0,18242.0,687.0,897.0,1272.0
153.0,7584.0,18242.0,686.0,903.0,1272.0
153.0,7584.0,18290.0,681.0,905.0,1265.0
154.0,8219.0,18290.0,677.0,907.0,1242.0
154.0,8219.0,18290.0,677.0,907.0,1242.0
155.0,8946.0,18427.0,695.0,934.0,1232.0
156.0,8946.0,18641.0,0.0,935.0,1226.0
156.0,8946.0,18641.0,0.0,935.0,1226.0
157.0,8946.0,18641.0,11382.0,949.0,0.0
157.0,9079.0,18641.0,10978.0,913.0,0.0
158.0,9079.0,18913.0,2508.0,0.0,1128.0
158.0,9118.0,0.0,711.0,786.0,1138.0
159.0,9118.0,0.0,696.0,784.0,1148.0
159.0,9081.0,0.0,695.0,777.0,1146.0
160.0,9081.0,0.0,693.0,774.0,1145.0
160.0,9057.0,0.0,691.0,766.0,1152.0
161.0,9043.0,0.0,691.0,763.0,1152.0
162.0,9043.0,0.0,691.0,768.0,1151.0
162.0,9040.0,0.0,690.0,903.0,1282.0
163.0,9040.0,0.0,695.0,900.0,1285.0
164.0,9048.0,0.0,695.0,897.0,1283.0
164.0,9048.0,0.0,694.0,898.0,1286.0
165.0,9052.0,0.0,693.0,898.0,1284.0
165.0,9052.0,0.0,693.0,898.0,1284.0
166.0,0.0,0.0,695.0,1123.0,1283.0
167.0,0.0,0.0,694.0,1125.0,1281.0
167.0,0.0,0.0,694.0,1125.0,1281.0
168.0,0.0,0.0,692.0,1124.0,1281.0
168.0,0.0,0.0,690.0,1129.0,1280.0
169.0,0.0,23495.0,694.0,1123.0,1280.0
169.0,0.0,23555.0,692.0,902.0,1281.0
170.0,2180.0,23565.0,690.0,906.0,1291.0
170.0,2180.0,0.0,689.0,906.0,1294.0
171.0,2184.0,0.0,690.0,5074.0,2093.0
172.0,0.0,0.0,690.0,5074.0,0.0
173.0,1172.0,0.0,688.0,8772.0,9609.0
173.0,1159.0,24197.0,688.0,11299.0,9609.0
